repo_url,name,datasets_extracted,correct,missing,precision,recall,F1
https://github.com/keras-team/keras/blob/master/examples/lstm_stateful.py,"#How to use a stateful LSTM model, stateful vs stateless LSTM performance comparison",4,0,0,0,0,0
https://github.com/mhejrati/3D-Object,3D Object Detection and Reconstruction,0,0,1,0,0,0
https://github.com/dtak/tree-regularization-public,NumPy Autograd Implementation,0,0,0,1,1,1
https://github.com/yytang2012/darknet,Yolo-v3 and Yolo-v2 for Windows and Linux,7,5,0,0.714285714,1,0.833333333
https://github.com/davidsvaughn/dts-tf,dts-tf,0,0,0,1,1,1
https://github.com/h2oai/h2o-3,H2O,2,0,0,0,0,0
https://github.com/wayalhruhi/gogle_bert,BERT,11,9,2,0.818181818,0.818181818,0.818181818
https://github.com/taki0112/UGATIT,U-GAT-IT &mdash; Official TensorFlow Implementation,0,0,1,0,0,0
https://github.com/amitaydr/Hackaton2018,Hackaton2018,0,0,6,0,0,0
https://github.com/Guanghan/lighttrack,lighttrack,5,2,0,0.4,1,0.571428571
https://github.com/tomMoral/post_training,Post_training,0,0,0,1,1,1
https://github.com/GKalliatakis/Keras-VGG16-places365,Keras | VGG16 Places365 - VGG16 CNN models pre-trained on Places365-Standard for scene classification,0,0,2,0,0,0
https://github.com/bearpaw/pytorch-pose,PyTorch-Pose,3,3,1,1,0.75,0.857142857
https://github.com/michael-wzhu/dynamic_routing_pytorch,pytorch implementation of dynamic routing model by https://arxiv.org/pdf/1806.01501.pdf,0,0,0,1,1,1
https://github.com/gidariss/LocNet,*LocNet: Improving Localization Accuracy for Object Detection*,2,1,2,0.5,0.333333333,0.4
https://github.com/HareeshBahuleyan/tf-var-attention,Variational Attention for Sequence to Sequence Models,1,1,1,1,0.5,0.666666667
https://github.com/banayoyo/yoolact,copy from: https://github.com/dbolya/yolact,2,2,0,1,1,1
https://github.com/ifp-uiuc/anna,"Artifical neural networks, anytime",0,0,0,1,1,1
https://github.com/guyemerson/sem-func,sem-func,0,0,0,1,1,1
https://github.com/cuihenggang/geeps,GeePS,1,1,0,1,1,1
https://github.com/fmow/baseline,fMoW: Functional Map of the World,0,0,0,1,1,1
https://github.com/annlia/partitionMCMC,Code for the manuscript ``Partition MCMC for inference on acyclic digraphs'',0,0,0,1,1,1
https://github.com/ARMUGHAN-SHAHID/MoboDensepose,DensePose:,2,1,0,0.5,1,0.666666667
https://github.com/hqythu/bit-rnn,Bit-RNN,0,0,0,1,1,1
https://github.com/SeungyounShin/EXTD,EXTD,0,0,1,0,0,0
https://github.com/jbhuang0604/SelfExSR,Single Image Super-Resolution from Transformed Self-Exemplars (CVPR 2015),2,0,5,0,0,0
https://github.com/liuzhencheng/GCN_CODE,Graph Convolutional Networks in PyTorch,1,1,0,1,1,1
https://github.com/gan3sh500/octaveconv-pytorch,Pytorch implementation of Octave Convolution,0,0,0,1,1,1
https://github.com/leopiney/deep-forest,Introduction,0,0,0,1,1,1
https://github.com/cdmh/deeplab-public-ver2,DeepLab v2,1,1,0,1,1,1
https://github.com/tbmihailov/semeval2016-task3-CQA,Fine-Tuned word embeddings trained on the Community Question Answering data of QatarLiving.com forum as used in Semanticz System in the SemEval 2016 Task 3 Community Question Answering,2,1,1,0.5,0.5,0.5
https://github.com/vdorie/npci,Contains R code to fit non-parmetric causal inference models. Of particular interest are the calculations in the examples folder.,0,0,0,1,1,1
https://github.com/yysijie/st-gcn,Spatial Temporal Graph Convolutional Networks (ST-GCN),1,0,2,0,0,0
https://github.com/sadicLiu/mask_rcnn_code,Faster R-CNN and Mask R-CNN in PyTorch 1.0,2,1,1,0.5,0.5,0.5
https://github.com/ctuning/ck-mlperf,Collective Knowledge workflows for MLPerf,0,0,2,0,0,0
https://github.com/ericjang/odin,ODIN: Out-of-Distribution Detector for Neural Networks,4,4,3,1,0.571428571,0.727272727
https://github.com/clickbait-challenge/snapper,Detection of Clickbait posts,0,0,0,1,1,1
https://github.com/cchinchristopherj/Concert-of-Whales,Concert of Whales,0,0,0,1,1,1
https://github.com/pedrormjunior/ssvm-results,ssvm-results,1,0,0,0,0,0
https://github.com/ewrfcas/Reinforced-Mnemonic-Reader,Reinforced Mnemonic Reader in tensorflow,1,1,0,1,1,1
https://github.com/outcastofmusic/quick-nlp,Quick NLP,0,0,0,1,1,1
https://github.com/noelcodes/cloth-recognition-version2,Home Page,0,0,0,1,1,1
